     x	y	z	time	in	vx-node	vy-node	vz-node	
   2.600000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.700000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.800000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.900000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.000000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.100000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.200000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.300000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.400000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.500000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.600000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.700000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.800000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.900000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.000000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.100000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.200000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.300000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.400000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.500000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.600000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.700000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.800000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   4.900000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.000000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.100000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.200000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.300000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.400000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.500000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.600000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.700000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.800000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   5.900000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.000000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.100000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.200000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.300000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.400000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.500000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.600000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.700000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.800000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   6.900000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.000000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.100000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.200000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.300000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.400000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.500000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.600000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.700000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.800000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   7.900000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.000000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.100000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.200000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.300000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.400000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.500000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.600000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.700000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.800000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   8.900000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.000000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.100000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.200000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.300000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.400000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.500000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.600000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.700000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.800000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   9.900000E-05	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.000000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.010000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.020000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.030000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.040000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.050000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.060000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.070000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.080000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.090000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.100000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.110000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.120000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.130000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.140000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.150000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.160000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.170000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.180000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.190000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.200000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.210000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.220000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.230000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.240000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.250000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.260000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.270000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.280000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.290000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.300000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.310000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.320000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.330000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.340000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.350000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.360000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.370000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.380000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.390000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.400000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.410000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.420000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.430000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.440000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.450000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.460000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.470000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.480000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.490000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.500000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.510000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.520000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.530000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.540000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.550000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.560000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.570000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.580000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.590000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.600000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.610000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.620000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.630000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.640000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.650000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.660000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.670000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.680000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.690000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.700000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.710000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.720000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.730000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.740000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.750000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.760000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.770000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.780000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.790000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.800000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.810000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.820000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.830000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.840000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.850000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.860000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.870000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.880000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.890000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.900000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.910000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.920000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.930000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.940000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.950000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.960000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.970000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.980000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   1.990000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.000000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.010000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.020000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.030000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.040000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.050000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.060000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.070000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.080000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.090000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.100000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.110000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.120000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.130000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.140000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.150000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.160000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.170000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.180000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.190000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.200000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.210000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.220000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.230000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.240000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.250000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.260000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.270000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.280000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.290000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.300000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.310000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.320000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.330000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.340000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.350000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.360000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.370000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.380000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.390000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.400000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.410000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.420000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.430000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.440000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.450000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.460000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.470000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.480000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.490000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.500000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.510000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.520000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.530000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.540000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.550000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.560000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.570000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.580000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.590000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.600000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.610000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.620000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.630000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.640000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.650000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.660000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.670000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.680000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.690000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.700000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.710000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.720000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.730000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.740000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.750000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.760000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.770000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.780000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.790000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.800000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.810000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.820000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.830000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.840000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.850000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.860000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.870000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.880000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.890000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.900000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.910000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.920000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.930000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.940000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.950000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.960000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.970000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.980000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   2.990000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.000000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.010000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.020000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.030000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.040000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.050000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.060000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.070000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.080000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.090000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.100000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.110000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.120000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.130000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.140000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.150000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.160000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.170000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.180000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.190000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.200000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.210000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.220000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.230000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.240000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.250000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.260000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.270000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.280000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.290000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.300000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.310000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.320000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.330000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.340000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.350000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.360000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.370000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.380000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.390000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.400000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.410000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.420000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.430000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.440000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.450000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.460000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.470000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.480000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.490000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.500000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.510000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.520000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.530000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.540000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.550000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.560000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
   3.570000E-04	          0   	   1.000000E-03	          0   	    1	          0   	          0   	          0   	
